ESTACAO	x	y	01.04.2015
2454003	173.1351018	7265.526161	26.1
2454004	165.9395535	7269.791009	36
2454006	185.0083871	7323.460564	32.9
2454011	197.1322371	7233.916316	30.5
2454012	172.3587213	7255.526603	19.5
2454018	176.7449258	7241.213003	18.3
2454028	173.7840775	7281.06731	44.5
2548001	713.6646266	7214.546477	0
2548003	726.6597058	7207.686616	22.5
2548023	771.9222025	7202.418587	15.8
2548036	742.0719226	7224.044015	0
2548037	774.6510727	7187.951596	17.8
2548038	719.1180741	7177.890923	9.8
2548039	782.206319	7212.185481	10.8
2548041	702.0429891	7179.267888	1.7
2548042	780.418057	7223.308743	16.6
2548043	759.9166138	7207.088746	12.1
2548044	774.251222	7217.891502	37.8
2548047	714.3033419	7191.266419	21.6
2548049	739.0290538	7166.466504	9.1
2548052	708.523897	7143.708757	7.3
2548053	742.4784191	7135.369255	21.7
2548068	724.2751536	7185.562806	5.2
2548076	720.5391834	7142.405054	10.7
2549000	622.1727652	7131.499358	1.7
2549001	612.5151038	7173.674931	2.3
2549003	661.2063745	7128.862049	0
2549004	694.06372	7183.817973	1.7
2549006	673.9781267	7186.309486	1.2
2549017	685.9100491	7176.177995	1
2549019	643.7565841	7182.236594	0
2549045	648.9310839	7195.472669	7.9
2549047	637.9962667	7208.880957	0
2549048	649.0045136	7202.118087	0
2549051	689.4238255	7211.582725	0
2549052	610.8879877	7220.205332	0.8
2549053	646.1747935	7219.871805	0
2549054	689.6245917	7225.982691	0
2549056	636.2362687	7234.373868	0
2549059	612.2805744	7145.986922	0
2549061	649.3025266	7138.97324	0.6
2549062	668.4575193	7147.605075	4.5
2549065	618.661032	7186.912837	0
2549076	632.1321358	7125.864207	0
2549080	661.9215514	7187.568224	0
2549081	661.7608339	7174.276603	54.2
2549082	657.6888929	7169.894177	0
2549090	678.2067971	7201.764172	0.8
2549091	623.3298356	7148.103601	0.6
2549093	649.6277272	7167.771635	1.4
2549100	671.1155659	7198.53246	5.2
2549107	671.2138545	7206.285942	0
2549108	686.3241861	7206.086195	0.9
2549126	664.8983813	7184.208558	1.1
2550000	507.0522035	7212.904405	0
2550001	561.1099857	7137.463298	3.1
2550003	585.6848069	7220.387484	4.5
2550005	532.0385018	7129.814176	0.2
2550006	515.1340166	7232.829299	3.4
2550015	600.6500467	7199.242676	0
2550017	543.0518489	7129.782633	0
2550025	542.226651	7185.156371	9.2
2550028	599.3302881	7157.166407	0
2550029	522.114975	7182.989911	1.6
2550035	548.1589879	7157.451095	3.4
2550037	580.3195996	7166.155184	0
2550038	530.1193195	7166.363561	2.3
2550041	570.361011	7181.715904	2.8
2550042	592.4602263	7179.3665	4
2550043	523.1468984	7198.491132	5.5
2550045	553.3213559	7193.975988	13.1
2550048	540.2853333	7208.417001	2.3
2550052	522.194778	7231.71236	0
2550053	502.0104492	7183.008019	8.7
2550055	502.0157371	7218.442649	0
2550056	514.1250808	7232.830379	0
2550057	520.1491759	7212.891265	0.3
2551000	454.7571216	7185.14653	0
2551001	479.9322009	7158.630784	27.2
2551008	451.7808266	7174.062157	8
2551010	449.6927446	7195.09498	14.8
2551011	490.9649801	7165.287208	1.1
2551014	492.9692556	7171.932679	3.7
2551017	473.9665472	7130.934916	0
2551018	489.9837723	7135.386634	0
2551019	422.8411466	7140.70147	12.3
2551023	489.977028	7144.245966	4
2551024	432.7495555	7162.905301	10.4
2551025	447.8407796	7154.113641	5.4
2551026	474.8901521	7171.910888	0
2551027	444.7487359	7174.034895	11.7
2551033	444.6119436	7207.256239	4.7
2551034	456.7145179	7201.763592	10.9
2551035	474.8279308	7205.13155	6.4
2551037	414.7885036	7146.189482	5.3
2551038	491.9522275	7192.971907	13.5
2551039	489.9320147	7204.043914	22.4
2551040	445.5258902	7230.514446	3.4
2551043	492.9449191	7218.440967	0.1
2551047	417.6107422	7176.109901	6.5
2552000	308.9535223	7183.861325	28.2
2552001	306.4526128	7148.369214	14.4
2552006	310.3908173	7224.875009	6.4
2552010	345.9734379	7200.953995	12.3
2552019	355.9475307	7209.92553	11.1
2552022	397.7451719	7146.068421	10.4
2552023	379.5978845	7156.991746	0
2552025	388.4895752	7173.683364	0
2552026	400.2585231	7212.539319	0
2552029	326.6299102	7139.786087	8.5
2552030	347.6781289	7140.046444	5.9
2552031	357.6647351	7143.481458	15.2
2552033	349.5312214	7153.36119	10.4
2552034	361.5586663	7154.600171	15.4
2552036	346.2144951	7179.909666	15.8
2552037	359.3179291	7176.730787	17
2552038	314.9420571	7187.269131	22.3
2552039	321.9397021	7190.687434	17.2
2552040	379.2778155	7192.432401	14.7
2552041	387.317359	7193.609733	10.5
2552042	316.7455649	7129.680315	8
2552043	328.7500818	7130.950516	0
2552044	342.8392608	7125.587636	9.6
2552045	307.3750307	7153.922811	21.2
2552046	302.8213671	7190.420506	13.4
2552047	333.7683523	7210.779226	10.7
2553004	286.0333852	7170.217411	14.3
2553007	268.352402	7146.647748	26.2
2553009	212.6343812	7217.620574	14.3
2553012	251.5912595	7130.824664	18.4
2553014	239.3324692	7193.772717	0
2553015	222.016519	7154.623035	17.6
2553019	291.2570114	7222.379298	9.3
2553020	211.042815	7197.62999	8.2
2553022	209.4659486	7224.205467	22.2
2553026	260.5546928	7189.733784	15.6
2553028	241.4527787	7188.271308	16.1
2553029	243.3599313	7193.850115	19.5
2553030	280.7368916	7186.753832	13.2
2553033	235.8792363	7215.875173	16
2553035	266.0952545	7218.645596	2.1
2553036	216.5888126	7126.788903	11.7
2553037	237.6287985	7127.227117	20.6
2553038	233.217144	7147.09314	17.2
2553039	230.9852339	7158.134	12.6
2553041	293.4767056	7209.116895	13
2553046	291.6164541	7134.845802	8.6
2553047	252.0940224	7157.436798	18
2553052	297.2721571	7158.204308	0
2553059	207.642546	7168.728279	10.8
2554006	173.8739566	7192.345591	5.4
2554012	158.0114047	7181.968017	10.7
2554013	166.0916158	7181.062573	15.4
2554018	194.1690167	7186.168705	14
2554020	172.1693852	7221.141141	17
2554023	191.2465625	7226.022659	27.6
2554025	157.0834167	7218.550989	27.5
2554030	156.6367927	7196.353985	10.9
2649006	618.9865717	7111.590412	0
2649018	661.9326606	7106.695327	1.9
2649021	619.9967575	7112.688834	1.9
2651000	492.0094397	7098.842244	0
2651003	473.0688143	7081.096754	1.1
2651004	478.0146657	7105.470899	0.6
2651005	485.9926785	7120.986334	5
2651013	470.0250765	7103.239951	7.6
2651016	479.992922	7118.763623	8.3
2651020	460.019708	7107.64293	0
2651023	443.0132301	7110.902012	3.7
2651026	457.1427478	7071.085716	14.1
2651029	443.1644352	7076.56912	0
2651035	413.2049527	7083.047245	13.2
2651043	402.322999	7070.784932	18.6
2651051	408.9809982	7116.246399	14
2652007	336.9012346	7119.975555	3.1
2652009	319.9181985	7117.536441	8.7
2652010	400.3294692	7070.769572	22.7
2652011	343.3346133	7084.602068	10.2
2652013	332.1835114	7097.757103	11
2652015	370.2021813	7092.65529	12
2652022	357.0254915	7110.241206	16.1
2652023	400.2434157	7081.845628	10.3
2652025	357.1108127	7102.487495	10.7
2652027	382.0334911	7109.384315	20.4
2652032	347.974108	7114.569954	8.7
2652033	340.1760794	7097.858244	13
2652035	332.0258589	7109.942425	14
2653009	256.8485717	7117.621936	25.6
2653012	292.9519163	7113.811879	11.7
2653014	235.0059434	7108.327604	27
2653016	263.8955303	7115.534539	23
2653017	253.9920404	7109.80909	42.4
2653019	280.2264984	7096.979255	15.4
2653020	262.1372396	7102.201611	25.6
2653021	252.2240027	7097.581998	18.2
2653022	298.1954746	7098.380035	19.7
2653023	287.1666919	7100.419949	9.3
2653024	298.0747737	7106.135254	13
ECMWF1	320.9700138	7427.725381	11
ECMWF2	321.305607	7400.040227	24
ECMWF3	321.6445947	7372.354267	45
ECMWF4	194.1851614	7370.225017	25
ECMWF5	321.9869707	7344.667496	26
ECMWF6	448.7587817	7456.392874	9
ECMWF7	448.853638	7428.716775	9
ECMWF8	219.1504594	7398.439692	35
ECMWF9	448.9494657	7401.039802	11
ECMWF10	219.6836512	7370.74076	34
ECMWF11	220.2221701	7343.041139	35
ECMWF12	346.2654259	7455.693814	17
ECMWF13	346.550114	7428.011843	16
ECMWF14	346.8377167	7400.329053	24
ECMWF15	347.1282287	7372.645435	33
ECMWF16	347.4216447	7344.960983	24
ECMWF17	243.7393066	7454.294814	9
ECMWF18	244.2141839	7426.601098	21
ECMWF19	244.6939209	7398.906669	22
ECMWF20	245.178509	7371.211521	16
ECMWF21	245.6679391	7343.515648	22
ECMWF22	474.4269878	7428.782847	9
ECMWF23	371.8909829	7455.934149	22
ECMWF24	372.1281889	7428.254197	23
ECMWF25	372.3678235	7400.573406	23
ECMWF26	372.6098823	7372.891769	30
ECMWF27	372.854361	7345.20928	27
ECMWF28	269.8023866	7427.020036	11
ECMWF29	270.2340432	7399.329062	19
ECMWF30	270.6700652	7371.637338	19
ECMWF31	271.1104445	7343.944856	11
ECMWF32	397.5148336	7456.130761	17
ECMWF33	397.7045761	7428.45246	16
ECMWF34	295.3875506	7427.394787	12
ECMWF35	295.7711606	7399.706905	25
ECMWF36	296.1586503	7372.018243	34
ECMWF37	296.5500128	7344.328795	27
ECMWF38	423.1373195	7456.283666	12
ECMWF39	423.2796133	7428.606649	11
