stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2452029	335.3281212	7334.85876	4.8	7.5	5.5	0	123	0	77.7	0	64.2	11.5	173.4	209	3.5	0	7.8	49	137.7	0	116.2	90.7
2452033	304.17681	7307.87793	6.35	20.4	24.5	23.3	136.3	3.7	121	0	61.1	14.7	246.2	196.7	26.9	0	7.2	30.6	109.3	0.9	119.7	51.2
2452035	342.863395	7297.285935	5.7	12.4	45.7	17.1	111.6	0	57.5	12.5	30.3	20	255	122.3	13.7	0	0.9	22.7	85.6	14.8	56.4	74.1
2452040	332.5789183	7309.351281	5.7	8.3	20.4	36.9	127.6	0	86.3	0	81.1	12.3	228.4	166.2	39.5	0	5.4	35.9	90.2	3.2	147.2	51.7
2452041	374.3638606	7289.850849	4.4	5.3	11.3	24.2	119.7	0	142	0	68.1	11.3	242.5	253.3	22.7	0	7.3	40.8	82.9	9.8	98.2	72.6
2452042	393.616112	7290.010419	4.4	8.5	12.2	14.1	56	60.2	122.8	0	66.2	12.5	214.9	191.7	22.8	0	8.3	33.4	100.8	0.7	134.4	78.8
2452044	378.3402012	7298.745579	5	6.6	19.3	12.4	125.4	0	120.1	0	57.5	12.5	206.6	206.5	24.6	0	9.8	41.7	83.9	0	149.5	74.8
2452045	357.8492688	7319.59604	4.8	6.6	4.3	19.4	156.8	0	68.7	0	38	0	170.7	158.6	21.4	0	0	22.5	56.2	23.5	136.9	56.6
2452046	371.1009214	7314.185511	5.95	0	29.5	14.5	131.7	0	129.2	0	67.9	4	221.2	214.9	6.7	0	0	41	78	0	144.2	43.2
2452047	390.395277	7313.240853	5	6.1	14.4	9.5	27.7	44	75.2	0	36	22	152.3	260	0	0.7	7.5	43.3	88	23	63	37
2452051	336.44604	7239.613144	5.45	8.4	42	8.7	125.5	0	121.9	0	102.2	29.6	223.3	148.5	9.2	0	11.5	50.6	65.1	0.3	73.7	51.3
2452055	323.1763093	7250.526314	5.95	10	11.4	14.1	168.8	0	122.2	6.1	99	0	133	253.2	21.7	0	17.9	56.4	85.8	12.9	70	78.4
2453000	222.6244964	7324.24484	4	24.3	18.3	0	100	9.3	72.9	0	56	0	206.9	90.6	0	0	0	39.6	69.2	0	109.3	40.6
2453001	280.148193	7286.471895	6.5	0	63.3	72.5	134.9	2	96.8	0	57.7	23.8	238	154.4	9.4	0	10.1	52	58.4	0	84.6	46.6
2453008	251.7936301	7342.514972	5.5	29.2	77.8	0	148.6	8.6	88.8	0	61.6	15.1	300.8	92.3	4.7	0	8.5	45.2	112.1	0	111.6	49.8
2453009	263.3372786	7321.657072	6.4	15.2	42.9	98.4	121.8	4.3	71.7	0	46.2	12.2	266.4	141.1	5.7	0	4.7	33	113	0	97.7	47.4
2453010	264.5007801	7312.811744	6.4	42.9	22.6	52.8	119.6	0	154	0	54.9	0	331.1	181.9	5.6	0	0	35.3	74.6	0	79.2	56.7
2453012	267.4926222	7255.2395	7.2	20.6	57.6	23.9	111.9	0	98.3	0	67.7	26.5	268.7	146.4	15.2	0	12.3	40.5	54.4	0	118.1	75.1
2453013	287.4281355	7274.396812	7.13	6.9	55.4	20.8	0	2.4	3.6	0	62.2	33.6	242.2	137.8	16.1	0	14.4	41.8	57.8	0	87.7	70
2453014	290.8848854	7246.74985	6.94	6.9	42.2	12.1	100.3	0	101	0	52.2	30.6	245	164.1	13.1	0	11.8	47.7	49.5	3.7	137.2	88.5
2453016	293.801938	7323.240341	5.7	7.8	30.2	21.8	144.2	0	76.5	0	54.4	11.5	199.4	103	4.1	0	5.6	30.7	111.7	0	122	32.8
2453017	211.6811468	7263.055314	7	39.8	88.8	15.6	122.3	7.5	115.8	0	56.1	38.1	223.5	175.4	7.8	0	19.2	45.1	43.2	2.3	87.5	107
2453026	206.7611345	7256.299964	7.15	29.3	69.3	8.2	132.2	9.2	115.4	0	62.1	38.5	278.7	183.5	6.1	0	19.6	41.9	42.1	4.5	146.6	97.4
2453027	233.0428581	7257.941397	7	28.1	61.4	6.3	113.2	10.1	140.8	0	64.1	44.3	281.9	126.2	9.8	0	15.1	36.9	43.7	1.6	106.5	121
2453028	203.3466815	7273.966231	7	37.6	83.5	34.8	125.9	17	113.2	0	54.3	49.8	239.6	165.4	13.2	0	15.2	53	38.1	1.7	103.7	97.6
2453030	235.7402797	7275.727588	6	23.5	51.9	18.8	122.3	13	164.5	0	53.8	47.2	255.7	159.7	8.5	0	11.1	63.4	58.6	1.3	92.3	57.2
2453037	258.9601279	7280.581741	6.69	15.2	50.4	0	112.1	2.3	102	0	66.7	35.1	254.1	150.1	9.5	0	11.7	56.5	46	0	98.4	78.6
2453047	214.0368107	7296.361376	7	24.5	53.7	56.7	103.5	11.6	127.1	0	65.4	39	208.7	167.4	7.5	0	9.7	49.3	69.7	4.6	73.2	67.9
2453048	202.8055874	7299.454123	7.19	38.1	60.7	69.3	59.8	74.1	136.9	0	83.8	49.7	302	202.8	5.8	0	17.9	61.5	92.2	0	101.3	95.8
2453050	243.0144026	7321.303534	5.7	25.9	36.2	63.1	149	5.7	83.8	0	52.1	16.3	238.5	141.4	0.9	0	5.8	55	87.2	3.9	126.8	49.1
2453052	200.0490931	7333.763829	5.4	31.9	71.2	67.4	143.5	15.5	91	0	79.5	17.3	234.8	147.8	4.8	0	9.9	28.4	101.9	0	97.9	68.8
2453056	273.8517722	7237.615287	7.07	11.4	44.4	10.2	107.1	0	104	0	82.5	25.9	228.3	178	17	0	18.1	47.3	21.7	19.8	123.5	97.4
2454003	173.1351018	7265.526161	6.7	26.1	74.4	66	125.2	9.4	68.1	0	41.6	44.5	244	185	12.6	0	19.1	47.4	40.4	16.8	107.8	58.2
2454004	165.9395535	7269.791009	6.6	36	79.5	95	142	16.4	26	0	55	66	244	314.6	5.5	0	21	48.1	70	4	138	52.6
2454006	185.0083871	7323.460564	6.6	32.9	70.4	43.7	63.3	87.7	93.4	0	47.9	27.3	212	132.9	0	0	7.7	56.2	68.8	2.7	74.9	29
2454011	197.1322371	7233.916316	7.44	30.5	76	10.8	116.9	2.4	81.1	0	75.2	57.2	118.8	287.3	25.7	0	10.7	44.3	21.5	23.2	103.7	133.7
2454012	172.3587213	7255.526603	6.12	19.5	40.7	14.1	79.1	55.6	85.1	0	69.7	39.8	214.4	111.1	17.3	0	18.2	48	44.8	4.8	104.6	71.4
2454018	176.7449258	7241.213003	5.21	18.3	68.8	10.7	125	7.2	79.2	0	65.1	44.2	236.3	148.8	14.7	0	18.7	41.9	26.2	6.2	101.2	67.9
2454028	173.7840775	7281.06731	6.5	44.5	73.9	55	126.4	13.7	70.2	0	54.7	45.4	222.5	189.9	13.7	0	22.3	38.9	69.7	3.1	129.5	92.2
2548001	713.6646266	7214.546477	0	0	2.7	39.6	57.2	11.7	24.7	0.9	64.4	4.3	52.1	95.5	37.3	0	1.2	12.6	98.8	12.8	57.6	71.8
2548003	726.6597058	7207.686616	0	22.5	4.3	172.9	87	32.8	28.8	0	94.9	44.3	46	71.1	43.2	0	0	17.5	117.8	31.8	48.4	111.2
2548023	771.9222025	7202.418587	0	15.8	0	152.3	72.3	68.4	31.7	0	33.8	35.9	50.9	39.2	46.4	0	0	40.9	53.1	22.4	46.9	85.2
2548036	742.0719226	7224.044015	0	0	0.9	45.5	23.1	44.5	16.8	2.5	66.3	10.9	47.4	59.2	3	0	0	6.5	85.1	15.9	72.3	85
2548037	774.6510727	7187.951596	0	17.8	46.6	59.5	100.6	98	53.8	0	45.8	48.5	81.8	73.4	7.7	0	0	32.7	11	0	49.8	86.9
2548038	719.1180741	7177.890923	0	9.8	31	91.8	26.2	59.4	30.2	0	104.5	16.5	29.6	52.7	18	0	0.2	11.3	76.8	18.6	49.7	61.5
2548039	782.206319	7212.185481	0	10.8	6.9	188.2	34	70.1	24.7	0.5	67.3	12.4	32.8	30.6	34.7	1	0.2	21.9	81.5	26.7	56.3	115.9
2548041	702.0429891	7179.267888	0	1.7	10	56.8	40.9	47.9	52.4	0	81.2	21.1	43.6	106.5	15.1	1.5	1.6	22.3	85.6	9.8	52.9	93.7
2548042	780.418057	7223.308743	0	16.6	0	169.8	64.5	96.8	43.8	0	30.3	37	57.5	54	24.2	0	0	63	89.3	22.9	46.5	87.3
2548043	759.9166138	7207.088746	0	12.1	0	127.6	69.5	54.2	14.2	0	95.4	10	51.9	11.8	6.5	0	0	53.8	74.7	21.4	66.8	81.2
2548044	774.251222	7217.891502	0	37.8	127.5	20.6	0	54.3	18.7	65.6	51	7.7	0	0	30.3	94.1	34.6	95	100.5	36.9	184.9	148.8
2548047	714.3033419	7191.266419	0	21.6	26.3	145	71.1	28.7	62.2	0	73.1	38.8	42.1	44.8	41	3.3	0.9	27.9	115.3	19.3	81.2	96.8
2548049	739.0290538	7166.466504	0	9.1	67.6	69.6	52.5	44.8	56.6	0.8	92.4	17.4	16	68.3	24.6	0	1.2	18.6	120.9	3.2	84	70.1
2548052	708.523897	7143.708757	0	7.3	46.5	64.9	29.4	83.4	91	0	109.9	9.6	46.4	89.1	20.1	0	0.7	15.7	70.3	34	53.3	65.1
2548053	742.4784191	7135.369255	0	21.7	41.2	163.1	49.1	176.3	97.9	0	77.1	10.2	29.4	90	38.5	0	1.3	29.5	97.1	13.4	49.3	69.4
2548068	724.2751536	7185.562806	0	5.2	3	82.1	39.7	33.1	36.7	0	83.4	12.9	23.4	69.4	23.8	0.1	0	11.4	101.2	7.1	61.9	35.7
2548076	720.5391834	7142.405054	0	10.7	19.9	109.1	42.3	38.5	94	0	79.4	19.5	31.1	78.6	18.9	0	2.3	21.5	61.4	42.5	43.3	74.6
2549000	622.1727652	7131.499358	0	1.7	2.8	26.2	41.4	1.4	22.5	0	96	1.1	50.9	90.2	41.1	0	4.8	33.8	72	18.2	46.4	63.1
2549001	612.5151038	7173.674931	0	2.3	10.1	50.4	79.9	1.8	100.3	0	92.3	0	78.9	153.1	51	0	5.2	43.6	94.2	14.2	42.7	61.1
2549003	661.2063745	7128.862049	0	0	0	30.2	25	27.5	59.7	0	114.2	0	52.8	109.2	36.5	0	5	26.6	66.2	14.1	37.7	73.4
2549004	694.06372	7183.817973	0	1.7	4.5	47	58.2	12.5	40.4	0	50.9	10.7	78.4	106.4	32.6	0	1.7	20.7	86.9	10	61.5	81.3
2549006	673.9781267	7186.309486	0	1.2	3.1	47.9	41.8	19	54.3	0.5	78.8	2.9	55.7	103.1	30.7	0	3.8	22.2	68.9	20.4	40.4	102.4
2549017	685.9100491	7176.177995	0	1	13.8	35.8	47	5.2	56.5	0	69.4	12.7	38.7	109.6	33.9	0	3.7	24.9	96.7	0	45.8	57.3
2549019	643.7565841	7182.236594	0	0	10.8	52.6	66.6	0	117.6	0	83.1	8.2	76.2	131.7	41.3	0	0	29.4	61.1	33.5	42	88.8
2549045	648.9310839	7195.472669	0	7.9	18	13.1	71.5	1.8	122.7	0	45.1	21.7	68.7	116.5	40.9	0	0	28.3	67.5	2.1	89.6	71.8
2549047	637.9962667	7208.880957	0	0	0	51.4	70.9	0	121.1	0	64	0	67.5	123.2	46	0	3.4	30.9	108.4	3.3	37.8	42
2549048	649.0045136	7202.118087	0	0	1.2	63.3	82.2	1.4	134.7	0	75.5	0	107.3	159.5	17.1	0	10.9	30	132.1	0	50.1	49.9
2549051	689.4238255	7211.582725	0	0	0	41.3	60.8	0	34.3	0	38.4	0	52.2	107.3	53.6	0	0	22.8	105.1	4.6	76.2	48.2
2549052	610.8879877	7220.205332	6	0.8	2.1	89.9	73.2	5.7	166.3	0	61.9	4.8	90.2	128.1	28	0	3.7	41.2	88.4	2.7	33.2	55.1
2549053	646.1747935	7219.871805	0	0	7.2	67	67.3	3.4	52.9	0	48.6	0	74.4	145.6	42	0	5.3	30.3	104	11.4	76.5	43.8
2549054	689.6245917	7225.982691	0	0	9.1	39.8	75.8	0	41.6	0	44.5	0	43.7	139.6	48.1	0	0	27.9	140.8	15.9	64.4	92.8
2549056	636.2362687	7234.373868	6	0	0	73.2	74.6	4.4	51.5	0	50.1	0	69	149.8	42.7	0	1.2	28.1	90.2	8.3	69.3	43.2
2549059	612.2805744	7145.986922	0	0	5.9	47.3	62.6	2.8	59.9	0	119.9	3.5	59.4	109.8	62.9	0	6.9	36.8	42.5	51.2	49.5	78.5
2549061	649.3025266	7138.97324	0	0.6	1.6	25.5	38.3	2.6	58.2	0.2	104.3	0	56.4	100.8	35.1	0	5.4	28.5	61.7	20.6	34.1	70.7
2549062	668.4575193	7147.605075	0	4.5	7	39.6	36.4	8.4	62	0	84.5	5.9	55	123.6	9.6	0	1.2	23.2	85.8	24.7	29.8	80.3
2549065	618.661032	7186.912837	0	0	6.8	32	55.2	0	126	42.8	40.4	9.4	69.4	158.5	34.6	0	3	47.6	68.5	0	56.4	61.9
2549076	632.1321358	7125.864207	0	0	2.1	21.2	38	14.3	47	0	97.2	0	54.4	82.5	37.8	0	5.4	39.9	61.5	22	63.9	20.1
2549080	661.9215514	7187.568224	0	0	13.2	54	43.1	31	68.6	0	86.6	0	67.8	108.8	47.4	0	8.3	29.4	75.8	22.4	45	87.8
2549081	661.7608339	7174.276603	0	54.2	148.6	44.6	0.4	2.6	30.2	58.6	30.4	47.8	58.4	27.4	62	67.8	73.2	82	70	86.4	125.2	79.1
2549082	657.6888929	7169.894177	0	0	0	12.6	19.4	0	98.9	0	81.5	0	54.7	148.4	38.9	0	0	0.9	107.7	9.8	47.2	51.7
2549090	678.2067971	7201.764172	0	0.8	3	54.6	37.2	32.8	55.6	1.4	55.4	1.2	44.4	104.8	45	0	2.6	25.6	79.6	19.6	63.6	84.4
2549091	623.3298356	7148.103601	0	0.6	7	49.1	47.5	14.1	63.7	0.9	104.3	0.9	60	131.5	50.8	0	7.2	34.2	76.9	17.8	43.4	76
2549093	649.6277272	7167.771635	0	1.4	7.4	38.8	51.9	4.2	88.1	0	83.7	2.5	64.8	147.7	39.7	0	2.4	26.4	68.5	16.8	56	61.8
2549100	671.1155659	7198.53246	0	5.2	7.3	32.7	19.5	27.1	42.8	3.7	50.3	7.4	55.7	53	26.3	0	12.8	36.1	77.3	15.7	78.5	50.1
2549107	671.2138545	7206.285942	0	0	1.7	56	76.6	4.2	52.7	0	50.5	0.4	44.9	130.4	44.7	0	3.2	21.1	104.2	6.6	110.4	71.9
2549108	686.3241861	7206.086195	0	0.9	10.3	43.6	68.9	4.5	70.5	0	54.5	6.7	36.2	95.2	42.2	1.4	5.9	35.8	87.5	14.8	71.8	81.1
2549126	664.8983813	7184.208558	0	1.1	6.6	48.3	66.3	1	112.2	0	78.8	0	63.7	127.1	35	0	3	28.2	78.7	14.1	51.3	60.7
2550000	507.0522035	7212.904405	3.2	0	0	104.1	84.9	0	50	0	106.3	7.3	174.2	149.9	47.7	0	4.6	47.1	69.9	0	55.2	57.8
2550001	561.1099857	7137.463298	0	3.1	36.2	31.3	47.5	0	123.7	0	110.6	3	64.9	143.2	46.5	0	7.8	62.8	72.5	3.3	92.2	45.4
2550003	585.6848069	7220.387484	6	4.5	6.6	91.2	58.4	29.9	155.4	0	86.4	0	114	143.9	53.5	0	6	49.9	96.3	11.2	46	69.9
2550005	532.0385018	7129.814176	6.5	0.2	1.8	52.8	39.4	0.2	65.4	0	61.6	3	77.2	167.4	4.8	0	10.2	55.4	74	1.6	74	34.8
2550006	515.1340166	7232.829299	5	3.4	4.5	85.6	72.2	24.8	97.1	0	74.8	0	117.2	241.6	45	0	12.8	41.2	110.6	6	78.9	56.9
2550015	600.6500467	7199.242676	0	0	0	62.1	38.5	0	74.9	0	54.2	0	63	137.7	15.2	0	1	30.5	50.8	15	33.4	57.8
2550017	543.0518489	7129.782633	0	0	9	27.4	44.7	5.7	91	0	93.3	4	85.1	106.2	43.9	0.9	8.2	47.1	61.1	2.5	101	78
2550025	542.226651	7185.156371	7.5	9.2	6	57.7	61.1	20.6	55.1	0.2	89	0	85.5	211.1	53.7	0	12.4	61.1	63.9	4.3	52.4	59.3
2550028	599.3302881	7157.166407	0	0	2.2	35.1	58.7	0	64.9	0	93.1	3.1	77.3	123.8	42.6	0	7.3	41.1	88.4	29.7	48.4	72.8
2550029	522.114975	7182.989911	7	1.6	0	94.3	65.9	0	87.4	0	87.5	0	125.6	145	44.7	0	32.9	36.6	97.8	0	85.5	57.4
2550035	548.1589879	7157.451095	7	3.4	4.9	47.7	60.7	0	85.2	0	128.7	3.2	67	135.2	45.8	0	9.3	30.2	63.3	33.3	87.9	71.1
2550037	580.3195996	7166.155184	0	0	6.5	70.2	28.9	30	56.1	0	97.6	0	85	149.1	39.3	0	8	54.7	80.3	27.7	51.6	74.7
2550038	530.1193195	7166.363561	7	2.3	0.8	94.6	68.8	0	144	0.8	124.6	2.7	116.9	170.7	32.1	0	9.8	92.8	44.9	6.1	68.7	46
2550041	570.361011	7181.715904	0	2.8	0	55.9	65.2	0	129.4	0	99.9	3.6	91.9	166.2	53.7	0	8.9	59.7	74	0	41.7	53.1
2550042	592.4602263	7179.3665	0	4	5.7	59.8	68.9	2.5	91	0	83.1	6.1	82.5	142.2	33.8	0	15	55.3	126.4	6.6	56	47.4
2550043	523.1468984	7198.491132	7.5	5.5	4.2	91.8	75	0	98.3	0	84.2	0	97.3	193.3	51.7	0	8.2	59.7	56.2	2	52.9	64.7
2550045	553.3213559	7193.975988	7.5	13.1	8.9	63.5	61	0.8	100.4	0	88.3	3.7	101.6	163.5	44.4	0	7.3	54.3	66.5	3.5	72	88.7
2550048	540.2853333	7208.417001	7.5	2.3	4.1	117.1	73.4	0	108.5	0	89.1	5.6	116.4	237.3	65.6	0	7.6	51	70.4	0	93.7	55.1
2550052	522.194778	7231.71236	5	0	2.1	94.6	79.9	0	84.2	0	71.3	9.9	128.3	205	42	0	10.9	39.5	117.7	1.1	102.2	49.7
2550053	502.0104492	7183.008019	7	8.7	10.3	94.2	62	0	105.8	0	122.1	5.3	157.9	108.6	28.2	0	0	56.7	50.7	0	89.4	86.9
2550055	502.0157371	7218.442649	3.2	0	9.5	119.9	87.8	0	87.7	0	84.1	0	121.7	218.9	43.7	0	9.5	46.9	82.5	0	109.8	66.3
2550056	514.1250808	7232.830379	5	0	6.8	58.4	60.3	2.2	103.1	1	77.1	13.4	158.8	221.3	45.9	0	14.7	43	114.7	3.9	91.1	54.2
2550057	520.1491759	7212.891265	0	0.3	4.6	84.2	85.5	0	85	0	88.5	6.3	107	239.6	44.4	0	11.9	49.8	75.3	0	98.1	66.6
2551000	454.7571216	7185.14653	0	0	0	0	55.5	0	87.7	0	140.9	7.3	146.4	190.9	85	0	0	99.8	54.3	0	136.6	105.3
2551001	479.9322009	7158.630784	5.2	27.2	19.8	73.4	24.4	54.8	55.7	0	86	8.5	92.6	145.2	45.6	0.6	13.8	79.8	38.2	7	87.2	96.8
2551008	451.7808266	7174.062157	0	8	23.7	45.9	53.1	0.3	99.7	0	103.4	11.3	144.7	137	45.8	0	10.9	89	55	0.1	147.3	178.8
2551010	449.6927446	7195.09498	0	14.8	11	23.6	75.4	8.6	66	0	141	0	130.8	181.4	42	0	12.4	74.4	51	7	126.2	86
2551011	490.9649801	7165.287208	5.2	1.1	6.4	68.6	52.5	0	36.5	0	98.9	5.7	122.1	135.6	38.5	0	10.4	92	55.3	11.4	125.6	87.6
2551014	492.9692556	7171.932679	5.2	3.7	5	56.2	53.6	0	43.6	0	89	5.5	100.5	97	23.7	0	0	72	48.6	0	118.9	63
2551017	473.9665472	7130.934916	2.3	0	5	30.4	51	0.3	136.6	0	96.6	6.3	106	119.9	56.2	0	8.4	61.2	80.4	0	105.1	129.6
2551018	489.9837723	7135.386634	2.3	0	3.7	16.5	36.4	0	114.7	0	98.4	0	86	108.8	24.6	0	8.9	62.6	59.2	0	131.7	91.5
2551019	422.8411466	7140.70147	0	12.3	39.7	38.6	75.1	0	174.4	0	149.9	28.6	138.5	117.4	15.4	0	19.4	104.8	64.3	11.3	109.5	126.6
2551023	489.977028	7144.245966	2.3	4	12.7	58.6	42	0	133	0	104.5	3.6	109.6	132.5	56.9	0	11.5	68	59	0.8	138.5	94.6
2551024	432.7495555	7162.905301	0	10.4	12.7	91.8	56.8	0	203.8	0	139.1	29.6	130.2	212.8	20.4	0	16.4	86.6	77.5	9.4	129	148.3
2551025	447.8407796	7154.113641	0	5.4	11.7	77	77.5	0	126.6	0	164.5	0	155.2	153.3	42	0	0	111.4	41.4	7.7	136.3	128.8
2551026	474.8901521	7171.910888	5.2	0	6.1	75.6	45.4	0	51.2	0	99.6	5.4	119.1	131	38.2	0	10	77.6	46	2	105.3	87
2551027	444.7487359	7174.034895	0	11.7	3.8	90.7	62.4	0	71.2	0	94.6	14	126.4	192.7	18.5	0	12	91	54.6	0	125.4	135.5
2551033	444.6119436	7207.256239	0	4.7	14.7	17	84.4	0	76.7	0	93	16.3	145.2	169.6	28.8	0	9.1	45.5	48.7	0	73.2	100
2551034	456.7145179	7201.763592	0	10.9	12.4	47	79.9	0	83.4	0	117.3	8.5	190.9	157.5	38.2	0	12.1	59.8	53.4	0	127.2	130.7
2551035	474.8279308	7205.13155	0	6.4	9.4	48.3	118.6	0	17.1	0	101.7	9.1	136	138.7	47.2	0	14	40.4	65.1	0	103.4	40.8
2551037	414.7885036	7146.189482	3.5	5.3	15	75.1	44.5	0	138.7	0	106.6	22.9	153.1	139.6	129.7	54.3	9.7	130.3	73	10.7	96	118.8
2551038	491.9522275	7192.971907	3.2	13.5	5.9	86.5	81.6	0	53.3	0	65.7	4.8	145.9	151.8	34.6	0	5.9	61.2	56.2	0	76.4	54.7
2551039	489.9320147	7204.043914	3.2	22.4	8.3	80.5	102.8	0	32.8	0	72.8	5.5	127.4	171.1	19.5	0	14.5	41.9	75.8	2.6	109.4	54.3
2551040	445.5258902	7230.514446	4.5	3.4	12.7	52.9	96.3	0	101.1	0	79.8	2.3	165.4	167.1	35.9	0	7	40.6	39.6	2.9	107.2	16.6
2551043	492.9449191	7218.440967	3.2	0.1	5	131.1	85.5	0	88.3	0	78.8	5.3	105.4	195.1	37.3	0	6.8	40.1	78.1	0	67.5	56.1
2551047	417.6107422	7176.109901	3.9	6.5	5.8	53.5	69.2	0	94.2	0	91.5	11	112.1	151.6	53.5	0	12	63.7	48.1	1.4	129.1	103.3
2552000	308.9535223	7183.861325	6	28.2	17.1	83.7	62.7	0	101.6	0	95.8	28.5	165.2	135.4	0	0	14.2	56	30	0	147.3	75.3
2552001	306.4526128	7148.369214	5.3	14.4	50.1	18	67.2	2	160.2	0	153.6	15.2	137.7	182.7	30.2	0	26.4	49.6	38	12.6	88.2	100.8
2552006	310.3908173	7224.875009	5.95	6.4	46.6	14.4	103	0	80.2	0	91.4	20.9	233.1	191.8	35.1	0	21.9	60.6	47.3	2	119.6	127.8
2552010	345.9734379	7200.953995	5.95	12.3	14.8	33	79.6	0	84.7	0	82.7	16.2	165	165.1	19.7	0	21.9	73.8	34.8	0	166.5	105.6
2552019	355.9475307	7209.92553	5.45	11.1	29.3	3.9	98.9	0	85.9	0	76.3	20	187.5	145	33.8	0	18.3	48.1	60.4	0	145.5	87.5
2552022	397.7451719	7146.068421	3.5	10.4	22.2	57.7	49.6	0	166.1	0	182.9	11.2	161.6	178.8	42.1	0	17.8	83	68.3	6.6	139	125.9
2552023	379.5978845	7156.991746	3.9	0	0	83.9	56.8	0	164.2	0	78.6	28.7	136.4	153.9	16.4	0	35.4	68.2	83.4	0	180.4	166.9
2552025	388.4895752	7173.683364	3.9	0	29.8	55.2	89.9	0	107.1	0	142.5	21.3	199.3	127.2	40.2	0	22.6	118	51	24	166	125.9
2552026	400.2585231	7212.539319	4.8	0	31.4	6	99.1	0.2	109.9	0	122.3	14.5	160	144.5	34.9	0	10.2	51.6	59.3	1.3	160.3	86.2
2552029	326.6299102	7139.786087	5	8.5	14.5	80.9	74.5	0	62	0	157	0	191.1	88.9	10.5	0	15.1	59.2	6.9	37	172.2	136.5
2552030	347.6781289	7140.046444	6.25	5.9	41.2	31.2	52.3	0	66.2	0	104.3	13.4	108.6	137.4	57.4	0	5.6	58.7	32.8	15.9	104.2	143.1
2552031	357.6647351	7143.481458	6.25	15.2	29.1	54	56.2	0	88.1	0	122.8	15.8	115.2	150.6	10.5	0	11.1	54.5	84.2	6.1	146.4	151
2552033	349.5312214	7153.36119	6.25	10.4	34.3	98.8	57.2	0	101.5	0	116.2	12.2	133.4	139.6	27.6	0	12.5	45.7	47.2	2.3	144.9	134.9
2552034	361.5586663	7154.600171	6.25	15.4	29.9	107.3	62	2.9	126.6	0	119.9	1.8	168.7	154.9	46.3	0	21	39.9	49.5	0	124.6	126.1
2552036	346.2144951	7179.909666	5.7	15.8	19.2	120.4	59.2	0	126.5	0	87.2	17.9	183.4	111.6	36.8	0	23.5	47.4	37.1	0	208	85.7
2552037	359.3179291	7176.730787	5.7	17	14	35.3	64	0	97.1	0	87	16.2	131.5	118.7	47.6	0	22	46.5	31.9	5.3	206.1	71.3
2552038	314.9420571	7187.269131	5.5	22.3	20.8	83.5	58	0.5	134.1	0	105	27.2	162.8	177	38.9	0	18.5	36.9	27.8	2.4	186.8	96.7
2552039	321.9397021	7190.687434	5.5	17.2	19.6	39.7	62.4	0	101	0	82.6	25.2	154	149.8	33.5	0	17.7	47.8	37.2	0	228.8	96.4
2552040	379.2778155	7192.432401	6.2	14.7	9.9	66.6	77.6	0	62.8	0	110.7	16.7	173.8	133.5	51.8	0	14.1	82.3	50.1	7.7	113.7	86.6
2552041	387.317359	7193.609733	4.7	10.5	1.9	40.2	49.2	0	97.4	0	133.7	21	194.8	130.5	39.4	0	0	87	42.7	2.2	141.6	109.8
2552042	316.7455649	7129.680315	7	8	25.1	6.5	78.4	1.3	121.6	0	147.9	10.1	146.5	144.5	35	0	10.6	47.5	42.7	10.4	80.4	170.8
2552043	328.7500818	7130.950516	8	0	21.5	9.4	56.7	0	90.5	0	176.2	18.2	128.3	121.6	56.4	0	10	60.3	63.5	13.7	93.6	180.7
2552044	342.8392608	7125.587636	8	9.6	21.9	28.4	62.9	0	119.5	0.8	105.8	13.9	154.4	125.2	43.5	0	10.9	63.9	37.3	17	85.9	198.8
2552045	307.3750307	7153.922811	6.2	21.2	39.7	19.3	64.2	0	135.3	0	128	15.3	152.7	117.4	25.9	0	12.3	62	30.2	6.7	125.1	178.9
2552046	302.8213671	7190.420506	6	13.4	28.8	45.3	70.4	0	138.7	0	95.4	26.3	174	121.9	32.1	0	14.5	43.7	30.6	0	138.3	80.1
2552047	333.7683523	7210.779226	5.95	10.7	25.6	40	64.8	6.3	95.2	0	72.7	9.4	186.9	121.4	34.8	0	14.3	44.6	30.3	0	133.6	75.6
2553004	286.0333852	7170.217411	5.8	14.3	23.5	39.6	70.6	0.5	89.7	0	102.4	18	160	132.1	21.4	0	11	30.8	40.1	17.5	103.8	88
2553007	268.352402	7146.647748	5.7	26.2	20	10	60	0	83.3	0	140	12.7	149.5	156.8	26.8	0	10	29.3	77.6	0	40	82.5
2553009	212.6343812	7217.620574	7.4	14.3	29.2	9.1	113.8	11.2	68	0	73.6	38	183.5	151.6	7.9	0	15.9	36.6	28.5	6.4	77.2	72.4
2553012	251.5912595	7130.824664	5	18.4	57.7	48.7	84	1.3	112.5	0	151.3	13.5	114.6	198.8	34.3	0	10.9	45.1	47.2	33.6	31.8	81.9
2553014	239.3324692	7193.772717	7.2	0	56.4	32.1	96.8	6.7	33.9	0	156	17.4	116	110.3	30.6	0	10.2	36.6	42.8	33.1	35.7	53.5
