stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2350011	595.2826361	7451.749572	6.94	0	15	0	48	61	33.8	0	11.3	18	88.6	56.4	17.5	0	0	25	197.6	0	66.7	77.8
2350012	595.0987839	7422.964392	6.69	14.2	2.9	10.8	24	61.6	42	0	14.4	10	185.6	66.6	0.4	0	0.4	18.3	103.4	12.6	78.5	165.9
2350018	566.5648165	7445.262054	5.62	2.8	22.6	69.7	22.1	20.9	84.7	1	11.8	0	170.4	64.7	0.3	0	2.6	34.4	51.5	61.5	63	122.8
2350021	537.8198791	7417.686078	5.77	49	19.7	17.8	88	2	47.1	0	9.2	0	223.1	69.8	0	0	4.3	31.2	95.6	24.3	82.2	200.1
2350023	520.4644903	7433.218912	5.52	31.9	10.3	8.5	106.1	1.9	49.5	0	7.1	0	220.6	54.1	0.2	0	5.9	38.2	93.1	25.3	91.5	168.3
2350026	525.605315	7447.602316	5.77	9.3	3.1	24	63.3	0.6	37.1	2	6.2	15	147	46.2	0	0	6.1	46.2	102.5	2	86.9	146.8
2350029	558.2983074	7426.476237	5.26	14.5	8.8	19.7	56.4	0.5	46	0	8.6	0	186.1	51.4	0	0	1.1	29.2	98.8	22.2	62.8	154.2
2350032	508.1747812	7413.304016	5.86	8	18.5	21	123.7	0	44.9	0	10.2	0	292.7	114.6	2.1	0	3	35.7	129.9	0	104	183.7
2350033	566.4160773	7412.049606	5.22	35.1	3.4	18.3	81.1	0	45.5	0	11.4	0	189.4	91.4	0	0	4.1	34.4	101	21	63.3	194.4
2350037	519.3578386	7370.117232	5.95	0	5.3	10.9	105.2	0	25.1	0	0	0	317.6	82.1	5.5	0	0	62.5	129.8	0	54.2	168.4
2350041	576.3318616	7354.427956	5	3.7	1.6	21.7	97.2	1.2	30.2	0	14.9	0	151.2	92.9	6.5	0	6.8	52.9	69.1	26.8	60.1	124
2350042	583.4757481	7357.709982	5	0	0	22.7	103.5	0	19.8	0	12.3	0	122.8	103.8	5.4	0	5.1	69.7	145.6	20.2	45.7	121.7
2350043	599.7186088	7350.96293	5.1	0	16	43.2	104.3	0	34.5	0	14.3	0	131.6	104.2	5.7	0	7.1	64.1	117.8	32.3	36.5	116
2350046	588.6135883	7365.430011	5.2	4.1	21.4	15.1	70.9	0.4	27	0	11.4	0	144.9	84.8	1.4	0	0.8	40.6	117.8	24.4	50.7	132.2
2350048	554.0603978	7386.636403	5.86	9.7	26.8	40.8	96.8	0	38.7	0	7.5	0	174.3	119.7	0	0	0	40.6	92	15.1	59.2	106.5
2350049	570.3809946	7386.566753	5	6.1	33.8	25.5	113.2	0	19.2	0	12.1	0	180.4	106.1	0	0	0	31.3	0	105.2	28.9	105.4
2350052	561.2377373	7395.465154	5.22	13.2	28.5	22.9	113.2	0	45.9	0	13.8	0	220.8	123.7	0.8	0	1.7	49.9	95.3	21.3	64.5	172.2
2350053	578.6483994	7406.453628	6.69	15.3	4.2	1.6	71.6	0	42	0	11.2	0	188.9	74.1	0	0	2.6	32.9	77.7	29.1	39.2	171
2350054	599.0254665	7398.579951	5.95	9.1	24.9	12.1	65.9	0.7	48.3	0	14.3	0	188.7	77.2	0.6	0	2.2	66.7	84.2	37.8	50.5	165.9
2350061	543.7697691	7356.778238	0	0	0	29.6	106	0	13.5	0	17	0	170	124.9	6.7	0	6.1	55	115.6	18.6	73.9	94.6
2350062	562.1162524	7362.246683	5.45	1.6	5.8	29.9	114.7	0	28.8	0	12.1	0	147.8	100.4	0	0	8.7	48.5	122	20.1	49.5	118.9
2350063	568.2419244	7365.540586	5	0	24.3	0	79.7	27.2	21.6	0	7.6	4.8	134.2	71.5	0	0	3.7	45.1	148.4	0	26	160.3
2350066	512.2381174	7384.51731	5.7	3.1	4.6	16.1	110.5	0	37	0	15.1	6	219.6	127.4	2.7	0	2.4	63.3	96.5	23.3	63.7	132
2350067	503.068068	7425.48345	5.77	11.9	3.2	34.2	98.6	0	32.1	0	5.7	0	238	64.4	0.3	0	0	27.2	113.6	16.3	53.3	157.7
2350069	502.0455313	7426.590663	6.6	18.4	0	13.3	121	0	51.3	0	8.4	0	167.9	111	0	0	0	29.4	91.5	15.7	75.7	111.3
2351003	484.6619403	7423.261751	5.7	11.5	9.5	44	63.4	46.3	35.7	0.4	9.9	0	250.9	94.1	1.2	0	1	32.2	75.8	36.8	89.3	170.6
2351004	421.5003805	7378.774961	5.2	0	0	95.8	55.4	67.2	57	0	22.7	22.3	241.5	194.5	0	0	11.2	30.2	177.9	0	92.7	129.2
2351010	484.664234	7421.047664	5.7	14	1.3	24.6	100.5	10.6	40.2	0.1	6.3	7.7	175.7	123.8	14.8	1.2	5	38.4	87.7	18.9	83	115.4
2351013	402.9433063	7409.665285	5.5	28.8	20.6	42	125.3	0.1	59.1	0	12.7	24.8	264	84.1	5.7	0	3.8	49.9	115.6	1.9	122.9	197.3
2351020	439.9619599	7352.290833	4.8	0	0	35	122.3	0	56.6	0	49.5	5.5	165.4	157.5	20.4	0.8	6.9	42	178.1	0	98.9	0
2351023	412.4318813	7361.007419	5.2	0	0	41.5	117.5	0	57.8	0	11.7	0	238.4	213.4	8.2	0	0	35.2	156.9	0	81.9	89.3
2351024	431.7580756	7365.540586	5.4	3.8	9.5	70.8	122.8	0	70.1	0	35	13.1	282.8	227.6	16.6	0	9	50.9	161.7	29.3	96.3	160.2
2351026	458.2212452	7372.284159	6	2.8	2.4	34.6	119.3	0	42.4	0	19.5	17.5	230.1	169.2	22.2	0	12.5	45.7	125.8	22.4	100.7	93.2
2351027	472.5019867	7364.568442	6	6	12.6	12.8	132.3	0	59.1	0	18.1	17	229.8	198.3	21	0	8.4	31.4	120	27	79.2	112.5
2351028	400.0520968	7384.17954	5.1	2.5	6.5	18.5	74.1	0	43.2	0	15.7	9.2	250.4	203.4	2.6	0	5.4	35.6	125.3	17.7	121.9	76.2
2351029	412.2646403	7388.687068	5	13.7	6.3	48.6	121	0	65.3	0	11.6	16.7	234.3	129.3	8.8	0	4.6	32	127.1	18.5	81.3	122.1
